ID,TARGET
2,0.03965409991099745
5,0.05979088426767375
6,0.00041128782779243603
7,0.002739446290023209
9,0.0006583356454866766
11,0.2255481007316519
12,0.06258762720555079
15,0.17223523312644395
16,0.021087421997096262
17,0.01682229277689195
19,0.01838200701676363
21,0.001079145032994276
22,0.008989989773612537
24,0.0070380448146185985
27,0.004950338248335712
28,0.010685218927771417
30,0.13850155533817235
33,0.001319013725337587
35,0.015655740543200472
37,0.025697177651435817
38,0.011729917484864506
40,0.19570726839701577
41,0.014580405395288567
44,0.0017336052205058619
46,0.056751305333122795
47,0.002466989874026009
48,0.0012660848203144882
50,0.0038458369233847324
52,0.14352397109374443
53,0.0020712593957504834
55,0.016803196422380432
57,0.00046176318796747586
58,0.0013440602018866357
59,0.0063011861361615094
62,0.021814194812426857
63,0.009935006285531229
64,0.019673311525207748
65,0.006601768696416457
67,0.015009591749705252
69,0.053387227070614836
70,0.000940970808669881
71,0.00944339863317272
72,0.002103671436503127
73,0.00028881167247799385
76,0.001998373639005083
78,0.000810934557093978
79,0.0220077953669301
81,0.0008068196822333932
85,0.010039791003634467
86,0.001319013725337587
89,0.04259449964891838
94,0.11262450039253806
96,0.0010789282108158039
97,0.005875956190149071
98,0.001541883908125657
99,0.01830473947579534
100,0.2707822049979113
103,0.08809753498689933
104,0.004502170227863976
108,0.003940411279978015
110,0.00136522190983341
112,0.014007529040473476
114,0.04606583490600682
116,0.013339981668038249
117,0.006781652218689078
119,0.003106055130596831
120,0.0009852236370216034
121,0.000227935841230353
123,0.011677862156772393
124,0.035621049908222194
126,0.0006506577810782781
128,0.011593059669106
129,0.07422185756751391
133,0.031061962512852363
138,0.017928178691656634
147,0.028510740460203746
149,0.012996586875605258
158,0.0012660848203144882
160,0.005013031704920096
164,0.03294099183241354
167,0.05522245267415462
168,0.01843633680612333
174,0.004708966207975704
181,0.012646292275661474
185,0.03688221829486037
187,0.0025404374810102178
189,0.0044335658028118174
190,0.05746942265434825
194,0.0026718954921122664
197,0.081190551966313
